pitcher_diff,pitcher_season_diff,pitcher_recent_diff,offense_diff,bullpen_diff,pyth_diff,home_pitcher_combined,away_pitcher_combined,home_pitcher_season,away_pitcher_season,home_pitcher_recent,away_pitcher_recent,home_pitcher_ip,away_pitcher_ip,home_offense,away_offense,home_bullpen,away_bullpen,home_pyth,away_pyth,home_home_pct,away_road_pct,is_home,park_factor,home_p_vs_era,away_p_vs_era,home_p_vs_ip,away_p_vs_ip,game_id,date,away_team,home_team,venue,home_win,home_runs,away_runs
-4.212000000000003,-10.120000000000005,4.6499999999999915,-5.199999999999996,-1.9300000000000068,-0.0352254106136331,66.72,70.932,63.0,73.12,72.3,67.65,177.1,135.0,39.46,44.66,66.82,68.75,0.4691,0.5043,0.543,0.481,1,0.98,4.5,4.5,0.0,0.0,778528,2025-03-29,Minnesota Twins,St. Louis Cardinals,Busch Stadium,1,5,1
-7.234000000000009,1.8699999999999974,-20.890000000000008,-11.829999999999998,-5.030000000000001,-0.09995919400984193,54.096,61.330000000000005,57.32,55.45,49.26,70.15,43.1,129.2,39.77,51.6,64.17,69.2,0.4535,0.5535,0.481,0.58,1,1.03,4.5,4.5,0.0,0.0,778536,2025-03-29,Baltimore Orioles,Toronto Blue Jays,Rogers Centre,0,5,9
2.608000000000004,4.859999999999999,-0.7700000000000031,-13.469999999999999,-6.280000000000001,-0.13727561016276046,49.542,46.934,57.75,52.89,37.23,38.0,187.2,66.2,35.69,49.16,63.69,69.97,0.4335,0.5707,0.469,0.506,1,1.0,4.5,4.5,0.0,0.0,778535,2025-03-29,Philadelphia Phillies,Washington Nationals,Nationals Park,0,6,11
26.562000000000005,16.71,41.339999999999996,-0.4000000000000057,-5.049999999999997,0.00047742284721896677,74.592,48.029999999999994,69.94,53.23,81.57,40.23,206.2,76.0,42.44,42.84,69.2,74.25,0.5602,0.5597,0.556,0.519,1,0.95,4.5,4.5,0.0,0.0,778529,2025-03-29,Cleveland Guardians,Kansas City Royals,Kauffman Stadium,1,4,3
13.332000000000008,10.079999999999998,18.21,-0.5600000000000023,1.0300000000000011,0.007228153551855354,52.09,38.757999999999996,59.29,49.21,41.29,23.08,115.1,90.1,39.75,40.31,68.44,67.41,0.5033,0.4961,0.481,0.469,1,1.12,4.5,4.5,0.0,0.0,778540,2025-03-29,San Francisco Giants,Cincinnati Reds,Great American Ball Park,1,3,2
39.976000000000006,29.6,55.54,-6.329999999999998,22.349999999999994,0.09521438186508235,70.71000000000001,30.734,65.87,36.27,77.97,22.43,156.1,12.1,32.65,38.98,71.52,49.17,0.4575,0.3622,0.519,0.296,1,1.0,4.5,4.5,0.0,0.0,778537,2025-03-29,Colorado Rockies,Tampa Bay Rays,George M. Steinbrenner Field,0,1,2
6.807999999999993,-2.020000000000003,20.049999999999997,-2.0600000000000023,-6.43,-0.07631285341613508,54.08,47.272000000000006,50.3,52.32,59.75,39.7,68.2,142.1,33.64,35.7,58.29,64.72,0.3756,0.4519,0.37,0.457,1,0.97,4.5,4.5,0.0,0.0,778539,2025-03-29,Pittsburgh Pirates,Miami Marlins,loanDepot park,1,5,4
-5.374000000000009,5.369999999999997,-21.490000000000002,-6.07,-0.14000000000000057,-0.037816950217333556,45.849999999999994,51.224000000000004,51.43,46.06,37.48,58.97,12.2,75.1,39.74,45.81,65.16,65.3,0.4646,0.5024,0.543,0.531,1,1.06,4.5,4.5,0.0,0.0,778531,2025-03-29,Boston Red Sox,Texas Rangers,Globe Life Field,1,4,3
0.7679999999999936,8.18,-10.350000000000001,-1.3299999999999983,2.529999999999987,0.01548188419390728,46.552,45.784000000000006,53.76,45.58,35.74,46.09,145.0,171.2,46.75,48.08,70.71,68.18,0.5597,0.5443,0.568,0.531,1,0.96,4.5,4.5,0.0,0.0,778530,2025-03-29,New York Mets,Houston Astros,Daikin Park,1,2,1
-30.971999999999994,-24.1,-41.279999999999994,3.6700000000000017,-3.819999999999993,-0.009327652002306452,44.096000000000004,75.068,48.52,72.62,37.46,78.74,98.0,123.2,48.46,44.79,70.39,74.21,0.5581,0.5674,0.556,0.531,1,0.93,4.5,4.5,0.0,0.0,778520,2025-03-29,Atlanta Braves,San Diego Padres,Petco Park,1,1,0
